image name;label
cam1_f2023-05-30T10:30:13.705Z.jpg_0.png;Stage-1_Rebar
cam1_f2023-05-30T10:30:13.705Z.jpg_1.png;Stage-1_Rebar
cam1_f2023-05-30T10:30:13.705Z.jpg_2.png;Stage-1_Rebar
cam1_f2023-05-30T10:30:13.705Z.jpg_3.png;Stage-1_Rebar
cam1_f2023-05-30T10:30:13.705Z.jpg_4.png;Stage-1_Rebar
cam1_f2023-05-30T10:30:13.705Z.jpg_5.png;Stage-1_Rebar
cam1_f2023-05-30T10:30:13.705Z.jpg_6.png;Stage-1_Rebar
cam1_f2023-05-30T10:30:13.705Z.jpg_7.png;Stage-1_Rebar
cam1_f2023-05-30T10:30:13.705Z.jpg_8.png;Stage-1_Rebar
cam1_f2023-05-30T10:30:13.705Z.jpg_9.png;Stage-1_Rebar
cam1_f2023-05-31T10:30:16.274Z.jpg_0.png;Stage-2_Formwork-1
cam1_f2023-05-31T10:30:16.274Z.jpg_1.png;Stage-2_Formwork-1
cam1_f2023-05-31T10:30:16.274Z.jpg_2.png;Stage-2_Formwork-1
cam1_f2023-05-31T10:30:16.274Z.jpg_3.png;Stage-2_Formwork-1
cam1_f2023-05-31T10:30:16.274Z.jpg_4.png;Stage-2_Formwork-1
cam1_f2023-05-31T10:30:16.274Z.jpg_5.png;Stage-2_Formwork-1
cam1_f2023-05-31T10:30:16.274Z.jpg_6.png;Stage-2_Formwork-1
cam1_f2023-05-31T10:30:16.274Z.jpg_7.png;Stage-2_Formwork-1
cam1_f2023-05-31T10:30:16.274Z.jpg_8.png;Stage-2_Formwork-1
cam1_f2023-05-31T10:30:16.274Z.jpg_9.png;Stage-1_Rebar
cam1_f2023-06-01T10:30:16.174Z.jpg_0.png;Stage-2_Formwork-1
cam1_f2023-06-01T10:30:16.174Z.jpg_1.png;Stage-2_Formwork-1
cam1_f2023-06-01T10:30:16.174Z.jpg_2.png;Stage-2_Formwork-1
cam1_f2023-06-01T10:30:16.174Z.jpg_3.png;Stage-2_Formwork-1
cam1_f2023-06-01T10:30:16.174Z.jpg_4.png;Stage-2_Formwork-1
cam1_f2023-06-01T10:30:16.174Z.jpg_5.png;Stage-2_Formwork-1
cam1_f2023-06-01T10:30:16.174Z.jpg_6.png;Stage-2_Formwork-1
cam1_f2023-06-01T10:30:16.174Z.jpg_7.png;Stage-2_Formwork-1
